section_name,Shape,Thickness,D_bot,B_bottom,H,B_top,D_top,Bottom_lip_angle,Bottom_flange_angle,Web_angle,Top_flange_angle,Top lip_angle,r1,r2,r3,r4
Z4x2.25 060,Z,0.06,0.91,2.25,4,2.25,0.91,-55,0,90,0,-55,0.2415,0.2415,0.2415,0.2415
Z7x2 060,Z,0.06,1,2,7,2,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z8x2.5 054,Z,0.054,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2415,0.2415,0.2415,0.2415
Z8x2.5 060,Z,0.06,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z8x2.5 067,Z,0.067,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2545,0.2545,0.2545,0.2545
Z8x2.5 070 L75,Z,0.07,0.75,2.5,8,2.5,0.75,-55,0,90,0,-55,0.21,0.21,0.21,0.21
Z8x2.5 075,Z,0.075,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z8x2.5 089,Z,0.089,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z8x2.5 099,Z,0.099,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
Z8x2.5 105,Z,0.105,1,2.5,8,2.5,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z8x3.0 060,Z,0.06,1,3,8,3,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z8x3.0 075,Z,0.075,1,3,8,3,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z8x3.0T 2.75B 090 Star,Z,0.09,1,2.75,8,3,0.75,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z8x3.0T 2.75B 075 Star,Z,0.075,1,2.75,8,3,0.75,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z10x2.5 060,Z,0.06,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2475,0.2475,0.2475,0.2475
Z10x2.5 067,Z,0.067,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2545,0.2545,0.2545,0.2545
Z10x2.5 075,Z,0.075,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z10x2.5 089,Z,0.089,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z10x2.5 099,Z,0.099,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
Z10x2.5 105,Z,0.105,1,2.5,10,2.5,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z10x2.5 120,Z,0.12,1,2.5,10,2.5,1,-55,0,90,0,-55,0.3075,0.3075,0.3075,0.3075
Z10x3.5 075,Z,0.075,0.75,3.5,10,3.5,0.75,-50,0,90,0,-50,0.325,0.325,0.325,0.325
Z12x2.5 067,Z,0.067,1,2.5,12,2.5,1,-55,0,90,0,-55,0.2545,0.2545,0.2545,0.2545
Z12x2.5 075,Z,0.075,1,2.5,12,2.5,1,-55,0,90,0,-55,0.2625,0.2625,0.2625,0.2625
Z12x2.5 089,Z,0.089,1,2.5,12,2.5,1,-55,0,90,0,-55,0.2765,0.2765,0.2765,0.2765
Z12x2.5 099,Z,0.099,1,2.5,12,2.5,1,-55,0,90,0,-55,0.2865,0.2865,0.2865,0.2865
Z12x2.5 105,Z,0.105,1,2.5,12,2.5,1,-55,0,90,0,-55,0.2925,0.2925,0.2925,0.2925
Z12x2.5 120,Z,0.12,1,2.5,12,2.5,1,-55,0,90,0,-55,0.3075,0.3075,0.3075,0.3075
C8x2.5 060,C,0.06,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.18,0.18,0.18,0.18
C8x2.5 067,C,0.067,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.201,0.201,0.201,0.201
C8x2.5 075,C,0.075,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.225,0.225,0.225,0.225
C8x2.5 089,C,0.089,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.267,0.267,0.267,0.267
C8x2.5 099,C,0.099,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.297,0.297,0.297,0.297
C8x2.5 105,C,0.105,1,2.8,8,2.8,1,-90,-180,90,0,-90,0.315,0.315,0.315,0.315
C10x2.5 060,C,0.06,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.18,0.18,0.18,0.18
C10x2.5 067,C,0.067,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.201,0.201,0.201,0.201
C10x2.5 075,C,0.075,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.225,0.225,0.225,0.225
C10x2.5 089,C,0.089,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.267,0.267,0.267,0.267
C10x2.5 099,C,0.099,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.297,0.297,0.297,0.297
C10x2.5 105,C,0.105,1,2.8,10,2.8,1,-90,-180,90,0,-90,0.315,0.315,0.315,0.315